id,country,replied_to_tweet_id,replied_to_user_id,reply_text,tweet_text,tweet_lang,text_en,mentions,tweet_date,tweet_emoticons,hashtags,tweet_urls,text_es,text_hi,verified,sa
1466649875316043780,USA,1466578686031929354,939091,Its going to be funny when you investigate about the race and disparity with that and intensities and youre really gonna find they just kind of shut down anybody they disagree with even if a psychiatrist says a persons off the rocker it all comes down to the person signing,Its going to be funny when you investigate about the race and disparity with that and intensities and youre really gonna find they just kind of shut down anybody they disagree with even if a psychiatrist says a persons off the rocker it all comes down to the person signing,en,Its going to be funny when you investigate about the race and disparity with that and intensities and youre really gonna find they just kind of shut down anybody they disagree with even if a psychiatrist says a persons off the rocker it all comes down to the person signing,['JoeBiden'],2021-12-03T06:00:00Z,,,,,,,0.14777777777777779
1466649089886416896,USA,1466578686031929354,939091,What were those three bills because I dont like it when you just say vague bullshit like that,What were those three bills because I dont like it when you just say vague bullshit like that,en,What were those three bills because I dont like it when you just say vague bullshit like that,['JoeBiden'],2021-12-03T06:00:00Z,,,,,,,-0.5
1466648118724730880,USA,1466511999458693124,939091,Keep working on it Mr.President.We will too.This is how our country succeeds.,Keep working on it Mr.President.We will too.This is how our country succeeds.,en,Keep working on it Mr.President.We will too.This is how our country succeeds.,['JoeBiden'],2021-12-03T06:00:00Z,,,,,,,0.7
1466643528046444545,USA,1466578686031929354,939091,"Sir,kindly support UPSC(India) aspirants...tell ur good friend PM MODI to give students an extra attempt.","Sir,kindly support UPSC(India) aspirants...tell ur good friend PM MODI to give students an extra attempt.",en,"Sir,kindly support UPSC(India) aspirants...tell ur good friend PM MODI to give students an extra attempt.",['JoeBiden'],2021-12-03T06:00:00Z,,,,,,,0.35
1466637384217411584,USA,1466158919215198209,939091,Great leader you are talking,Great leader you are talking,en,Great leader you are talking,['JoeBiden'],2021-12-03T05:00:00Z,,,,,,,0.8
1466632136166109188,USA,1465488753577897991,939091,Why not offer incentives like $ for people to get vaccinated/boosted. Incentives make more sense than trying to mandate people to do something they are hesitant about.,Why not offer incentives like $ for people to get vaccinated/boosted. Incentives make more sense than trying to mandate people to do something they are hesitant about.,en,Why not offer incentives like $ for people to get vaccinated/boosted. Incentives make more sense than trying to mandate people to do something they are hesitant about.,['JoeBiden'],2021-12-03T05:00:00Z,,,,,,,0.5
1466631956620189708,USA,1466511999458693124,939091,Look at the UKs at home testing program. Do that here.,Look at the UKs at home testing program. Do that here.,en,Look at the UKs at home testing program. Do that here.,['JoeBiden'],2021-12-03T05:00:00Z,,,,,,,0.0
1466628824825696259,USA,1465776653267779589,939091,Well said but how about start by telling the media to stop sensationalizing everything that has to do with COVID. And somehow mandate the unvaccinated to get vaccinated. Enough is enough.,Well said but how about start by telling the media to stop sensationalizing everything that has to do with COVID. And somehow mandate the unvaccinated to get vaccinated. Enough is enough.,en,Well said but how about start by telling the media to stop sensationalizing everything that has to do with COVID. And somehow mandate the unvaccinated to get vaccinated. Enough is enough.,"['JoeBiden', 'JoeBiden']",2021-12-03T05:00:00Z,,,,,,,0.0
1466627839889920000,USA,1463575674933989377,939091,Act in Uganda now.It's too much.How many more Ugandans do you want dead?We want actions &amp; sanctions against 's regime.Museveni must go.,Act in Uganda now.It's too much.How many more Ugandans do you want dead?We want actions &amp; sanctions against 's regime.Museveni must go.,en,Act in Uganda now.It's too much.How many more Ugandans do you want dead?We want actions &amp; sanctions against 's regime.Museveni must go.,"['JoeBiden', 'KagutaMuseveni', 'IMFNews', 'IntlCrimCourt', 'SecBlinken']",2021-12-03T05:00:00Z,,"['M7NovMassacreUg', 'UgandaIsBleeding', 'FreeAllPoliticalPrisonersinUganda', 'NoMore']",,,,,0.5
1466627709497327620,USA,1466418132889837574,939091,The Democrats accuse Republicans of being Democrats. Again.,The Democrats accuse Republicans of being Democrats. Again.,en,The Democrats accuse Republicans of being Democrats. Again.,['JoeBiden'],2021-12-03T05:00:00Z,['🤡'],,,,,,0.0
1466626872771596290,USA,1466511999458693124,939091,yes Joe you are correct. once you are voted out in .,yes Joe you are correct. once you are voted out in .,en,yes Joe you are correct. once you are voted out in .,['JoeBiden'],2021-12-03T05:00:00Z,,,,,,,0.0
