,id_x,poi_name,poi_id,verified,country,tweet_text,tweet_lang,text_en,mentions,tweet_date,tweet_emoticons,tweet_urls,text_hi,hashtags,text_es,sentiment,max_sentiment,min_sentiment,negative,positive,total_replies_per_poi,Unnamed: 21,"('index',)","('Topic0',)","('Topic1',)","('Topic2',)","('Topic3',)","('Topic4',)","('Topic5',)","('Topic6',)","('Topic7',)","('Topic8',)","('Topic9',)","('Topic10',)","('Topic11',)","('Topic12',)","('Topic13',)","('Topic14',)","('dominant_topic',)",dominanttopic,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,id_y,words
0,1465304536998895623,RicardoAnayaC,151968088.0,1.0,Mexico,"El decreto que publicó López Obrador es el acto autoritario más grave en lo que va del sexenio. Ya no dará cuentas de lo que hace con TUS impuestos, con el cuento de que es por el bien del pueblo. Eso hacen los dictadores. Así se han destruido muchas democracias. Es inaceptable. https://t.co/wIT28e3dIn",es,,,2021-11-29T13:00:00Z,,,,,"El decreto que public Lpez Obrador es el acto autoritario ms grave en lo que va del sexenio. Ya no dar cuentas de lo que hace con TUS impuestos, con el cuento de que es por el bien del pueblo. Eso hacen los dictadores. As se han destruido muchas democracias. Es inaceptable.",-0.607085294117647,0.9991,-1.0,Eres un pobre pendejo,Estamos CONTIGO AMLVE..,34,,Tweet0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,13,13,que,https,del,por,thank,muchas,grave,sexenio,sharing,helping,13,"que,https,del,por,thank,muchas,grave,sexenio,sharing,helping"
1,1465434839516024833,CDCgov,146569971.0,1.0,USA,"As of November 29, 2021, 232.8 million people have received at least one dose of a #COVID19 vaccine. Of those, 196.8 million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: https://t.co/zYLe3HiDiM. https://t.co/xT6hAkQr33",en,"As of November , , million people have received at least one dose of a vaccine. Of those, million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: .",,2021-11-29T22:00:00Z,,['https://t.co/zYLe3HiDiM'],,['COVID19'],,-0.99635,-0.9927,-1.0,"Only the inactivated vaccines like which have a much broader exposure because they are using the full virus which have many antigens, may provide better protection against Omicron. We need COVAXIN.",Why don't you mention the million vaccinated that have resulted ineath - See Nuremberg CodesCongestive heart failureParalysis Permanent Nerve Damage?,2,,Tweet1,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.1,0.0,0.0,9,9,https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully,9,"https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully"
2,1465727334040825860,HLGatell,1.154180084078502e+18,1.0,Mexico,"La variante Ómicron no ha demostrado ser más virulenta ni más transmisible; tampoco se identifica que cause enfermedad más grave. La vacunación sigue siendo la medida de control de la pandemia más efectiva, por lo que es importante garantizar equidad en el acceso a las vacunas. https://t.co/CyUyHTm4wX",es,,,2021-11-30T17:00:00Z,,,,,"La variante micron no ha demostrado ser ms virulenta ni ms transmisible; tampoco se identifica que cause enfermedad ms grave. La vacunacin sigue siendo la medida de control de la pandemia ms efectiva, por lo que es importante garantizar equidad en el acceso a las vacunas.",0.20585,0.9949,-0.5832,El que no ha demostrado ser mas eficiente eres tu Lopez Gaytell,"Ok hdp, equidad significa para todos",2,,Tweet2,0.27,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.26,0.01,3,3,personas,que,las,dosis,vacunaci,para,better,stronger,covid19,single,3,"personas,que,las,dosis,vacunaci,para,better,stronger,covid19,single"
3,1465742530134302736,CDCgov,146569971.0,1.0,USA,CDC is strengthening its recommendation on #COVID19 vaccine booster doses. Everyone ages 18 and older should get a booster shot either when they are 6 months after their initial Pfizer or Moderna series or 2 months after initial J&amp;J vaccine. Learn more: https://t.co/77CTFuJFcO. https://t.co/zmQ9vHIsRK,en,CDC is strengthening its recommendation on vaccine booster doses. Everyone ages and older should get a booster shot either when they are months after their initial Pfizer or Moderna series or months after initial J&amp;J vaccine. Learn more: .,,2021-11-30T18:00:00Z,,['https://t.co/77CTFuJFcO'],,['COVID19'],,-0.591876470588235,0.9944,-1.0,", this covid-19 is more like Ebola virus (HIV): Weaken immune system and body intakes all other Cold, Flu , stomach fever, symptoms At Too Fast of A Rate. Survival days. No Vaccine ( it's a weak Ebola virus )...",Thanks . Would love to have boosters for teens &lt;18! Major group of spread &amp; its time for many of them.,34,,Tweet3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,14,14,https,vaccine,amp,booster,covid19,months,initial,ages,shot,doses,14,"https,vaccine,amp,booster,covid19,months,initial,ages,shot,doses"
4,1465742530134302736,CDCgov,146569971.0,1.0,USA,CDC is strengthening its recommendation on #COVID19 vaccine booster doses. Everyone ages 18 and older should get a booster shot either when they are 6 months after their initial Pfizer or Moderna series or 2 months after initial J&amp;J vaccine. Learn more: https://t.co/77CTFuJFcO. https://t.co/zmQ9vHIsRK,en,CDC is strengthening its recommendation on vaccine booster doses. Everyone ages and older should get a booster shot either when they are months after their initial Pfizer or Moderna series or months after initial J&amp;J vaccine. Learn more: .,,2021-11-30T18:00:00Z,,['https://t.co/77CTFuJFcO'],,['COVID19'],,-0.591876470588235,0.9944,-1.0,Where is the data on the efficacy of the Moderna shot? Doesnt it offer protection for greater than six months? Far greater?,Thanks . Would love to have boosters for teens &lt;18! Major group of spread &amp; its time for many of them.,34,,Tweet4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,14,14,https,vaccine,amp,booster,covid19,months,initial,ages,shot,doses,14,"https,vaccine,amp,booster,covid19,months,initial,ages,shot,doses"
5,1466136297483948035,CDCgov,146569971.0,1.0,USA,"#COVID19 vaccines help protect against COVID-19, including severe illness &amp; death.   But no vaccine is 100% effective at preventing illness, so some people who are fully vaccinated against COVID-19 may still get infected. More: https://t.co/2D9mqWljgK. https://t.co/iQF59YRhVN",en,"vaccines help protect against COVID-19, including severe illness &amp; death. But no vaccine is % effective at preventing illness, so some people who are fully vaccinated against COVID-19 may still get infected. More: .",,2021-12-01T20:00:00Z,,['https://t.co/2D9mqWljgK'],,['COVID19'],,-0.607458823529412,0.9938,-0.9999,"Vaccines are NOT Safe and Effective As a matter of fact the Supreme Court decision in BRUESEWITZ ET AL. v. WYETH LLC, FKA WYETH, INC., ET AL. ruled that Vaccines are unavoidably unsafe.",TRUTH/READ/THIS/IT/COULD/SAVE/YOU/AND/YOUR/FAMILY,17,,Tweet5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.47,0.0,0.0,9,9,https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully,9,"https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully"
6,1466157794508382208,CDCgov,146569971.0,1.0,USA,"As of November 29, national forecasts predict 304,000–810,000 new #COVID19 cases will likely be reported during the week ending December 11. More: https://t.co/7AP4I3S9PU. https://t.co/0QDY7ZCXy0",en,"As of November , national forecasts predict new cases will likely be reported during the week ending December . More: .",,2021-12-01T22:00:00Z,,['https://t.co/7AP4I3S9PU'],,['COVID19'],,-0.317066666666667,0.9918,-1.0,"Only the inactivated vaccines like which have a much broader exposure because they are using the full virus which have many antigens, may provide better protection against Omicron. We need COVAXIN.","We should be using all tools at our disposal but instead FDA delays , a traditional(non mRNA) inactivated whole virion vaccine, like the Polio vaccine in use for decades, that may provide a broad immune response. Its safe &amp; effective(neutralizes variants like Delta)",3,,Tweet6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,12,12,https,puedes,farmers,vaccine,000,illness,today,covid19,obtenerlo,sido,12,"https,puedes,farmers,vaccine,000,illness,today,covid19,obtenerlo,sido"
7,1466251821702270976,MoHFW_INDIA,2596143056.0,1.0,India,#Unite2FightCorona #LargestVaccineDrive  𝐂𝐎𝐕𝐈𝐃 𝐅𝐋𝐀𝐒𝐇  https://t.co/yFyLYxDNah https://t.co/nX1ztoxJUW,en,,,2021-12-02T04:00:00Z,['xD'],['https://t.co/yFyLYxDNah'],,"['Unite2FightCorona', 'LargestVaccineDrive']",,-0.332533333333333,0.9992,-0.9999,"The chutiyas in Govt will never learn. With all the crowding in the airports by stopping people to get tested, the morons are actually increasing the chances of more people being exposed to the virus and being let out into general population to become +ve days later.",Phenomenal achievement - a nation thats fought from the front - from to ; India stands tall,3,,Tweet7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,9,9,https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully,9,"https,vaccinated,covid19,people,covid,pregnant,flu,protect,know,fully"
8,1466284893705420805,mansukhmandviya,432697203.0,1.0,India,"सबका साथ, सबका प्रयास 💉  Yet another proud moment for every Indian as the nation hits the 125-Crore vaccination mark!  As 🇮🇳 intensifies the #HarGharDastak campaign, the country is marching ahead with a new zeal &amp; new energy in its fight against #COVID19. https://t.co/j61nAyAkX3",en,", Yet another proud moment for every Indian as the nation hits the -Crore vaccination mark!As intensifies the campaign, the country is marching ahead with a new zeal &amp; new energy in its fight against .",,2021-12-02T06:00:00Z,"['💉', '🇮🇳']",,,"['HarGharDastak', 'COVID19']",,0.197257142857143,0.9974,-0.9999,I called your number so many time but i do not know you are not paying phone bills or something wrong with your telephone it is network busy I had visited your IGNOU rcdelhi-3 more than times for my assignment number but you guys always say it will done but it is not updated,Congratulations saheb,21,,Tweet8,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,https,covid19,omicronvariant,omicron,cdc,amp,older,years,variant,states,5,"https,covid19,omicronvariant,omicron,cdc,amp,older,years,variant,states"
9,1466445282019794946,CDCgov,146569971.0,1.0,USA,"Follow #COVID19 prevention strategies. Everyone 5 years and older should get vaccinated and get a booster shot, if recommended. Get tested if you have symptoms and stay home if you are sick. https://t.co/tt49zOn1hf",en,"Follow prevention strategies. Everyone years and older should get vaccinated and get a booster shot, if recommended. Get tested if you have symptoms and stay home if you are sick.",,2021-12-02T17:00:00Z,,['https://t.co/tt49zOn1hf'],,['COVID19'],,-0.03165,0.9978,-1.0,Get tested it you may have been exposed. We know there's asymptomatic spread. We need to address it if we're really committed to containing this.,"when will you come up with a hour pill for impotence? I never know when I will be ready for intimacy, so just want the convenience of taking once per day in the morning preferably. Then I am ready if I am to be intimate in the morning, afternoon, evening, or night. Thank you",4,,Tweet9,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5,5,https,covid19,omicronvariant,omicron,cdc,amp,older,years,variant,states,5,"https,covid19,omicronvariant,omicron,cdc,amp,older,years,variant,states"
