id,poi_name,poi_id,verified,country,tweet_text,tweet_lang,text_en,hashtags,tweet_urls,tweet_date,tweet_emoticons,mentions,text_hi,text_es
1465404452177915924,CDCgov,146569971,True,USA,"Children get the #COVID19 vaccine dose recommended for their age group at the time of administration. For example, if your child is 11 for their first dose &amp; 12 for their second dose, they will get the children's dose first, and the full adult dose second.
https://t.co/oV6NgGGUSb https://t.co/4bFS6xfqsO",en,"Children get the vaccine dose recommended for their age group at the time of administration. For example, if your child is for their first dose &amp; for their second dose, they will get the children's dose first, and the full adult dose second.",['COVID19'],['https://t.co/oV6NgGGUSb'],2021-11-29T20:00:00Z,,,,
1465381554138632196,CDCgov,146569971,True,USA,"Apply today for a #CDCFellowship opportunity in health communication &amp; #DataScience.
Recent bachelor’s and master’s grads in business, communications, science, and related degrees are welcome to apply by January 1. https://t.co/BSXDWBYM0i https://t.co/2pkFgxiwct",en,"Apply today for a opportunity in health communication &amp; .Recent bachelors and masters grads in business, communications, science, and related degrees are welcome to apply by January .","['CDCFellowship', 'DataScience']",['https://t.co/BSXDWBYM0i'],2021-11-29T18:00:00Z,['XD'],,,
1465367472857571334,CDCgov,146569971,True,USA,"#Pediatricians – Parents trust you as a source of information on #COVID19 vaccines. Your strong vaccine recommendation is important.

Remind parents that vaccinating all family members 5 yrs &amp; older can help protect them and those around them. More: https://t.co/Hru6Gz3vyJ. https://t.co/sjBxmpTgiC",en,Parents trust you as a source of information on vaccines. Your strong vaccine recommendation is important.Remind parents that vaccinating all family members yrs &amp; older can help protect them and those around them. More: .,"['Pediatricians', 'COVID19']",['https://t.co/Hru6Gz3vyJ'],2021-11-29T17:00:00Z,,,,
1465358654060777481,CDCgov,146569971,True,USA,Easy-to-read graphs can reinforce your health messages or help your audience better understand them. A new study examines graphical format preferences &amp; understanding of risk information in younger &amp; older adults. Learn more: https://t.co/Xb0AO0b7ed. #HealthLiteracy https://t.co/Dm2nK8sKAD,en,Easy-to-read graphs can reinforce your health messages or help your audience better understand them. A new study examines graphical format preferences &amp; understanding of risk information in younger &amp; older adults. Learn more: .,['HealthLiteracy'],['https://t.co/Xb0AO0b7ed'],2021-11-29T17:00:00Z,,,,
1465349946622816257,CDCgov,146569971,True,USA,"The best thing about the holidays is being with family &amp; loved ones. Get fully vaccinated against #COVID19 at least 2 weeks before seeing them to protect the ones you love.
https://t.co/xbvNiaVJKV https://t.co/erwgP0GV7g",en,The best thing about the holidays is being with family &amp; loved ones. Get fully vaccinated against at least weeks before seeing them to protect the ones you love.,['COVID19'],['https://t.co/xbvNiaVJKV'],2021-11-29T16:00:00Z,,,,
1465014381905862665,CDCgov,146569971,True,USA,"Everyone ages 5 years and older is eligible for a free #COVID19 vaccine. Find a vaccine near you:

💻Search https://t.co/2akIUZ14Rd 
📱 Text your ZIP code to 438829
📞Call 1-800-232-0233

Learn more about COVID-19 vaccines: https://t.co/mUsXpasZ4S. https://t.co/Po1D7DPme7",en,Everyone ages years and older is eligible for a free vaccine. Find a vaccine near youearch Text your ZIP code to Call -800-232-0233Learn more about COVID-19 vaccines: .,['COVID19'],"['https://t.co/2akIUZ14Rd', 'https://t.co/mUsXpasZ4S']",2021-11-28T18:00:00Z,"['💻', '📱', '📞']",,,
1464689990730981385,CDCgov,146569971,True,USA,"What languages does your family speak? CDC’s “Learn the Signs. Act Early.” program offers parents FREE child development resources in many languages including Arabic, Vietnamese, and Somali. Find them all here: https://t.co/CKG7qsP1dA. https://t.co/ZitNiCLVjZ",en,"What languages does your family speak? CDCs Learn the Signs. Act Early. program offers parents FREE child development resources in many languages including Arabic, Vietnamese, and Somali. Find them all here: .",,['https://t.co/CKG7qsP1dA'],2021-11-27T20:00:00Z,,,,
1464674140808437760,CDCgov,146569971,True,USA,Yes #COVID19 vaccines are safe &amp; FDA-authorized for children 5 years &amp; up. COVID-19 vaccines are under the most intense monitoring in US history. The Pfizer-BioNTech vaccine is more than 90% effective in preventing COVID-19 illness in children 5–11 years. https://t.co/oV6NgGGUSb https://t.co/lBWnmhruaa,en,Yes vaccines are safe &amp; FDA-authorized for children years &amp; up. COVID-19 vaccines are under the most intense monitoring in US history. The Pfizer-BioNTech vaccine is more than % effective in preventing COVID-19 illness in children years.,['COVID19'],['https://t.co/oV6NgGGUSb'],2021-11-27T19:00:00Z,,,,
1464652829327609857,CDCgov,146569971,True,USA,"CDC is following details of B.1.1.529 (Omicron), a new variant of the virus that causes #COVID19, first reported to the WHO by South Africa. Read full statement:  https://t.co/qMFQNMeWuV",en,"CDC is following details of B.1.1.529 (Omicron), a new variant of the virus that causes , first reported to the WHOby South Africa. Read full statement:",['COVID19'],['https://t.co/qMFQNMeWuV'],2021-11-27T18:00:00Z,,,,
1464334400552902660,CDCgov,146569971,True,USA,"#DYK? All adults ages 18+ are eligible for a #COVID19 booster dose. CDC’s COVID Data Tracker now includes booster dose data for different demographic groups, for people ages 65+. View data about who has received a booster dose by race/ethnicity, age &amp; sex: https://t.co/4uLkBEbAjm https://t.co/eRkV6KjmPV",en,"? All adults ages + are eligible for a booster dose. CDCs COVID Data Tracker now includes booster dose data for different demographic groups, for people ages +. View data about who has received a booster dose by race/ethnicity, age &amp; sex:","['DYK', 'COVID19']",['https://t.co/4uLkBEbAjm'],2021-11-26T21:00:00Z,,,,
1464320810789838857,CDCgov,146569971,True,USA,"#COVID19 vaccines are working well to help prevent severe illness &amp; death, but scientists are seeing some reduced protection against mild &amp; moderate COVID-19 illness. 

Everyone ages 18+ years who got a COVID-19 vaccine is eligible for a booster shot. https://t.co/7ZbkDYko3v. https://t.co/JM73HBvHvt",en,"vaccines are working well to help prevent severe illness &amp; death, but scientists are seeing some reduced protection against mild &amp; moderate COVID-19 illness. Everyone ages + years who got a COVID-19 vaccine is eligible for a booster shot. .",['COVID19'],['https://t.co/7ZbkDYko3v'],2021-11-26T20:00:00Z,,,,
1464301937311064075,CDCgov,146569971,True,USA,"Protect your loved ones by using #COVID19 self-tests. Along with vaccines, self-tests can help reduce the spread of COVID-19. Learn more: https://t.co/6IWdJW0leJ. https://t.co/mLm8abkyGP",en,"Protect your loved ones by using self-tests. Along with vaccines, self-tests can help reduce the spread of COVID-19. Learn more: .",['COVID19'],['https://t.co/6IWdJW0leJ'],2021-11-26T19:00:00Z,,,,
1464294139042930699,CDCgov,146569971,True,USA,Parents: V-safe is a smartphone-based tool that uses text messaging to provide health check-ins after family members receive a #COVID19 #vaccine. Children ages 5 years and older can be enrolled in v-safe. Learn more: https://t.co/XIUafCZYMH. https://t.co/5ZFoiEJau5,en,Parents: V-safe is a smartphone-based tool that uses text messaging to provide health check-ins after family members receive a . Children ages years and older can be enrolled in v-safe. Learn more: .,"['COVID19', 'vaccine']",['https://t.co/XIUafCZYMH'],2021-11-26T18:00:00Z,,,,
1464285333714083845,CDCgov,146569971,True,USA,"November is American Indian and Alaska Native Heritage Month. Starting today, make heart health a native tradition. Learn more. https://t.co/Mlwy9E1Ial #AIANHM #HealthyTribes https://t.co/Dyc9o6nAtF",en,"November is American Indian and Alaska Native Heritage Month. Starting today, make heart health a native tradition. Learn more.","['AIANHM', 'HealthyTribes']",['https://t.co/Mlwy9E1Ial'],2021-11-26T18:00:00Z,,,,
1464277862328979465,CDCgov,146569971,True,USA,"The data continue to show that #COVID19 vaccines are highly effective at preventing severe illness from COVID-19.

#SleeveUp and get your vaccine as soon as you can: https://t.co/xbvNiaVJKV. https://t.co/DQWpOz6xy9",en,The data continue to show that vaccines are highly effective at preventing severe illness from COVID-19. and get your vaccine as soon as you can: .,"['COVID19', 'SleeveUp']",['https://t.co/xbvNiaVJKV'],2021-11-26T17:00:00Z,,,,
1464262782505914383,CDCgov,146569971,True,USA,"Parents and Guardians: By getting your children ages 5 years &amp; older vaccinated against #COVID19, you help them get back to doing the things they enjoy most. More: https://t.co/oV6NgGGUSb. https://t.co/QffgcY5v3d",en,"Parents and Guardians: By getting your children ages years &amp; older vaccinated against , you help them get back to doing the things they enjoy most. More: .",['COVID19'],['https://t.co/oV6NgGGUSb'],2021-11-26T16:00:00Z,,,,
1463628549022232584,CDCgov,146569971,True,USA,"The #COVID19 level of community transmission in the U.S. remains high &amp; cases are increasing.

The 7-day average of daily new cases was 94,266, a 9.7% increase from the previous week. 

Get vaccinated right away!
More: https://t.co/iSLwhCwlZ2 https://t.co/JYhzCwDB3R",en,"The level of community transmission in the U.S. remains high &amp; cases are increasing.The -day average of daily new cases was , a % increase from the previous week. Get vaccinated right away!More:",['COVID19'],['https://t.co/iSLwhCwlZ2'],2021-11-24T22:00:00Z,,,,
1463620955096457220,CDCgov,146569971,True,USA,"Before gathering with friends and family, consider using #COVID19 self-tests to protect those you care about. Along with vaccines, self-tests can help reduce the spread of COVID-19. View videos about how to self-test and learn more: https://t.co/6IWdJW0leJ. https://t.co/EOXxiCXJ14",en,"Before gathering with friends and family, consider using self-tests to protect those you care about. Along with vaccines, self-tests can help reduce the spread of COVID-19. View videos about how to self-test and learn more: .",['COVID19'],['https://t.co/6IWdJW0leJ'],2021-11-24T22:00:00Z,,,,
